,location,Radius,covered_nodes,Total_nodes_covered
0,"[809.7304493084378, 564.7176612092358]",269.92136924658917,"['268789860', '268789861', '268789880', '268789944', '268789950', '268789961', '268789963', '330576035', '330576044', '330576053', '330576059', '330576066', '330576156', '330576503', '330576530', '330576539', '330576568', '330576592', '330576637', '330576647', '330576678', '330576733', '330576745', '330576757', '330576765', '330576770', '330576811', '330576821', '330576830', '330582157', '330582170', '330582189', '330582193', '330582202', '330593389', '330593397', '330593456', '330593460', '3248842465', '3248842469', '3248842472', '3248842476', '3248842477', '3371735059', '3371735060', '3371735062', '3371735063', '3371735085', '3371735086', '3371735087', '3405055667', '3405055668', '6773818264']",53
1,"[268.64373925742564, 87.83930137271048]",253.12524387268118,"['268789874', '268789926', '268789939', '268789985', '268789987', '268789988', '268789990', '330576261', '330576289', '330576364', '330593476', '330593514', '330593520', '330593523', '330593548', '330593595', '330593601', '330593605', '330593612', '330593618', '330593624', '330593641', '330593646', '330593651', '330593656', '330593661', '330593666', '330593675', '330593688', '330593697', '330593701', '330593710', '330593716', '330612021', '330612032', '330612039', '330612040', '330612044', '330612049', '330612053']",40
2,"[-550.7551509714124, -427.18224576355135]",233.6508841691225,"['330648038', '330648048', '330648061', '330648065', '330648075', '330648108', '330648111', '330648114', '330648117', '330648694', '330653928', '330653958', '330798362', '330798365']",14
3,"[58.75696731120754, -583.8920565823831]",233.83909134841835,"['268789969', '268789971', '268789973', '268789976', '268789979', '268790010', '268790030', '268790035', '275675438', '275675439', '275675440', '330653141', '330653166', '330653179', '330653236', '330653241', '330653246', '330653249', '330653262', '330653267', '330653271', '330653290', '330653296', '330653303', '330653353', '330653884', '330653997', '330654000', '330774715', '330780144', '330780155', '330780161', '330780167', '330780202', '330780203', '670703205', '670703217', '2166694709', '2166694714', '2166694715', '2166694724', '2166694728', '2166694752', '7024847607']",44
4,"[464.2073495567241, -627.913026294181]",261.77438059765666,"['330653384', '330653399', '330798628', '330798629', '330798634', '330798635', '330798636', '2166694720', '2166694724', '2166703022', '2293922421', '3405091168', '7024847607']",13
5,"[176.09022982281013, -994.1282875774446]",256.0248504287511,"['275675441', '275676975', '275676976', '275676977', '330654000', '330654003', '330654005', '330654009', '330654010', '330654012', '330654038', '330654075', '330654081', '330654139', '330654144', '330654149', '330654150', '330780592', '330798589', '2164168453', '2164168463', '2167078769', '2167078770', '2167078771', '2167078772', '2167078773', '2167078774', '6590511582', '7025461280']",29
6,"[-604.948757424128, -620.001115187818]",229.86458226437333,"['275676971', '330648038', '330648048', '330648051', '330648061', '330648694', '330648697', '330653958', '330783601', '330783605']",10
7,"[654.9587380255548, 227.50195062420298]",268.2978713425511,"['268789868', '268789869', '268789870', '268789881', '268789882', '268789920', '268789940', '268789950', '268789954', '268789961', '268789963', '330576035', '330576044', '330576253', '330576261', '330576280', '330576404', '330576439', '330576446', '330576488', '330576496', '330582189', '330582202', '330593428', '330593447', '330593456', '330593460', '330593466', '330593476', '330593480', '330593501', '330593509', '330593514', '330593520', '330593523', '330593675', '2164208476', '2164208484', '3248842465', '3248842469', '3248842473', '3248842475', '3248842476', '3248842477', '3248842479', '6773818263', '6773818264']",47
8,"[587.037055720601, -224.4113836240025]",263.6737242779055,"['268789874', '330593497', '330593501', '330593697', '330593710', '330593716', '330612021', '330612026', '330653426', '330779492']",10
9,"[-222.03840823789005, -313.75967313155246]",241.22450426253837,"['268790010', '268790016', '268790019', '304913244', '304913245', '304913248', '304914007', '304914011', '330612298', '330612299', '330648003', '330648024', '330648058', '330653166', '330653179', '330653184', '330653241', '330653246', '330653249', '330653928', '672642687', '3405118745']",22
10,"[613.7627077192703, -1024.625088925646]",266.42005016225767,"['275676979', '275676982', '330653399', '330654083', '330654107', '330654114', '330654123', '330654130', '330780864', '330780866', '330798589', '330798628', '330798629', '330798631', '330798633', '330798634', '330798635', '2158634730', '2168356812', '4690195811', '4690195816', '10038642609', '10038642610', '10038642616']",24
11,"[-201.6354120578889, -723.0505301586097]",240.7901240929529,"['275675438', '275675439', '275675440', '330653249', '330653267', '330653884', '330653893', '330653923', '330653967', '330653976', '330653978', '330653986', '330653996', '330653997', '330780155', '330780202', '670703094', '670703101', '670703151', '670703205', '670703217', '670703264', '672642688', '672642689', '2164168482', '2166694704', '2166694709', '2166694714', '2166694715']",29
12,"[899.4785965327751, 971.4972370927849]",271.07507234552975,"['268789836', '268789860', '268789861', '268789877', '268789879', '268789942', '268789959', '268790945', '330576568', '330576592', '330576637', '330576647', '330576671', '330576694', '330576715', '3248845375', '3263038277', '3371735058', '3371735059', '3371735060', '3371735085', '3371735086']",22
13,"[153.46688227024322, -254.70554025773606]",255.67338133198038,"['268789874', '268789875', '268789969', '268789971', '268789973', '268789976', '268789979', '268789985', '268789988', '268789990', '268789999', '268790000', '268790030', '304913244', '330593595', '330593601', '330612027', '330612029', '330612032', '330612039', '330612040', '330612044', '330612046', '330612049', '330612053', '330612289', '330653141', '330653290', '330653324', '330774715', '330774716', '330779489', '330779492', '3371735080', '3405118745']",35
14,"[-914.850882029898, -662.5396712399453]",216.93675599080487,"['330648098', '330648697', '330780901', '2018053792', '5391143596', '5391143604']",6
